,Name,Link,ProductDescription
0,Men Green Jacquard Woven Design Kurta Pyjama.,https://www.amazon.in//hangup-sherwani-bottom-available-pattern/dp/B07VZ8QJH6/ref=sr_1_3?pf_rd_i=1968248031&pf_rd_m=A1K21FY43GMZF8&pf_rd_p=6a1993aa-67cd-416e-a722-d90488214ba1&pf_rd_r=3R684KJ157BXTEEKFHYP&pf_rd_s=merchandised-search-7&pf_rd_t=30901&qid=1700505596&refinements=p_85%3A10440599031%2Cp_n_pct-off-with-tax%3A2665401031&rnid=2665398031&rps=1&s=apparel&sr=1-3,"Bgn Apparels ,formed in 1980, was started by Mr. Satish Gupta.hangup deals in mens wear which has presence in India and aboard.these comprise of a combination of exclusive brand outlets that deals with heritage of Indian textiles and puts to use traditional weaves and silks from master weavers all over the country to create styles that are classic, trendy, and timeless and can be handed down from one generation to the next. a collection that embodies the beauty of hand crafted embroideries and fabrics. This label brings together couture sensibilities and timeless style. a high-impact globetrotting mix of Indian and western wear that works up this fashion brand into a comfortable trendy occasion wear. the range is for those who need wardrobe versatility in everyday semi formal-to-formal clothing. It lets you skillfully team up separates that are international in appeal and cater to individual taste. this brand brings out fresh new collections in contemporary styles that combine elegance with strong detailing that makes a strong fashion statement. our brand encourages the use of organic textiles made from techniques that are environment friendly. we revive the artisan culture by using traditional textile practices and techniques that caters to a large segment, ranging from youngsters to fashion conscious Corporate executives. hangup is known as a brand that’s trendy, stylish and affordable, a place where style meets quality and comfort."
1,Men's Silk Blend Kurta Pyjama Set,https://www.amazon.in//Royal-Kurta-Suiting-Kneelong-Sherwani/dp/B01JMWS7H4/ref=sr_1_2?pf_rd_i=1968248031&pf_rd_m=A1K21FY43GMZF8&pf_rd_p=6a1993aa-67cd-416e-a722-d90488214ba1&pf_rd_r=3R684KJ157BXTEEKFHYP&pf_rd_s=merchandised-search-7&pf_rd_t=30901&qid=1700505596&refinements=p_85%3A10440599031%2Cp_n_pct-off-with-tax%3A2665401031&rnid=2665398031&rps=1&s=apparel&sr=1-2,"Royal Kurta s a brand brings you designer quality and affordability. In market since 1958, we take pride in our commitment to maintain quality standards in each piece manufactured by us. A style for every occasion. Our range of traditional wear is very wide including dhotis, kurtas, pajamas and other Indian ethnic wear. We have great diversity in terms of weaves, fibers, colours and material of clothing. Our creative fashion designers are in a lookout for ethnic designs that take us close to our cultural roots and remind us of the glorious past. Royal Kurta is known for its hand-woven textiles, richly embroidered fabrics, authentic drapes in exclusive designs have been prized by western civilization for centuries. This Dhoti is well crafted with high quality poly cotton. It comes in Regular fit size and has two Shades border."
2,Men's Silk Blend Regular Kurta Churidar Pyjama with Bundi Nehru Jacket/Waistcoat,https://www.amazon.in//Vastramay-Silk-Blend-Sherwani-Maroon_VASMSW010nCDGO_40/dp/B07CPVXJGV/ref=sr_1_4?pf_rd_i=1968248031&pf_rd_m=A1K21FY43GMZF8&pf_rd_p=6a1993aa-67cd-416e-a722-d90488214ba1&pf_rd_r=3R684KJ157BXTEEKFHYP&pf_rd_s=merchandised-search-7&pf_rd_t=30901&qid=1700505596&refinements=p_85%3A10440599031%2Cp_n_pct-off-with-tax%3A2665401031&rnid=2665398031&rps=1&s=apparel&sr=1-4,Vastramay brings to you this Stylish yet Comfortable Men Maroon Men Embroidered Idowestern Style Sherwani With Cowl Style Patiala Dhoti Pant Set. Adorn it for a perfect Classy & Trendy look. Pair it with a juti or a mojari for the Royal look.
3,Men's Cream Silk Blend Kurta Pyjama Set,https://www.amazon.in//Vastramay-Mens-Beige-Blend-Sherwani/dp/B07YFQ9X97/ref=sr_1_6?pf_rd_i=1968248031&pf_rd_m=A1K21FY43GMZF8&pf_rd_p=6a1993aa-67cd-416e-a722-d90488214ba1&pf_rd_r=3R684KJ157BXTEEKFHYP&pf_rd_s=merchandised-search-7&pf_rd_t=30901&qid=1700505596&refinements=p_85%3A10440599031%2Cp_n_pct-off-with-tax%3A2665401031&rnid=2665398031&rps=1&s=apparel&sr=1-6,"Vastramay introduces to you these classy sherwani for men stylish latest design in variety of material and designs for all occassions. This fabric has been designed keeping in mind the latest trends in a semi formal fashion or occassional fashion. Engineering garments which fit all body types and style is our aim. We offer not just servani for man for wedding but also indo western for men and semi sherwani as well covering the entire space. Our servani are constructed in such a way that you can adorn it with a churidar, dhoti for men or a patiala too. To complete the look adorn a mojari or jutti slippers for men stylish, you may also try an authentic Kohlapuri chappal for men, the fashionistas and millennial folks may experiment with a brogues or oxfords juta for men stylish. Suitable for: Party, Weddings, Regular Wear, Celebrations, Occasions, Festivals, Lohri, Pongal, Makar Sakranti, Baisakhi, Holi, Eid, Raksha Bandhan, Dussehra, Diwali, Navratri, Pooja, Christmas, Onam, Ganesh Chaturthi, Janmasthmi and Gifts for Mens."
4,Men Cotton Kurta and Pyjama Set,https://www.amazon.in//hangup-sherwani-bottom-available-pattern/dp/B07VZ7Q7QX/ref=sr_1_45?pf_rd_i=1968248031&pf_rd_m=A1K21FY43GMZF8&pf_rd_p=6a1993aa-67cd-416e-a722-d90488214ba1&pf_rd_r=3R684KJ157BXTEEKFHYP&pf_rd_s=merchandised-search-7&pf_rd_t=30901&qid=1700505596&refinements=p_85%3A10440599031%2Cp_n_pct-off-with-tax%3A2665401031&rnid=2665398031&rps=1&s=apparel&sr=1-45,"Bgn Apparels ,formed in 1980, was started by Mr. Satish Gupta.hangup deals in mens wear which has presence in India and aboard.these comprise of a combination of exclusive brand outlets that deals with heritage of Indian textiles and puts to use traditional weaves and silks from master weavers all over the country to create styles that are classic, trendy, and timeless and can be handed down from one generation to the next. a collection that embodies the beauty of hand crafted embroideries and fabrics. This label brings together couture sensibilities and timeless style. a high-impact globetrotting mix of Indian and western wear that works up this fashion brand into a comfortable trendy occasion wear. the range is for those who need wardrobe versatility in everyday semi formal-to-formal clothing. It lets you skillfully team up separates that are international in appeal and cater to individual taste. this brand brings out fresh new collections in contemporary styles that combine elegance with strong detailing that makes a strong fashion statement. our brand encourages the use of organic textiles made from techniques that are environment friendly. we revive the artisan culture by using traditional textile practices and techniques that caters to a large segment, ranging from youngsters to fashion conscious Corporate executives. hangup is known as a brand that’s trendy, stylish and affordable, a place where style meets quality and comfort."
5,Men's Cotton Blend Kurta Pyjama Set,https://www.amazon.in//Royal-Mens-Festive-Jacqaurd-Sherwani/dp/B01HHCM9ZC/ref=sr_1_10?pf_rd_i=1968248031&pf_rd_m=A1K21FY43GMZF8&pf_rd_p=6a1993aa-67cd-416e-a722-d90488214ba1&pf_rd_r=3R684KJ157BXTEEKFHYP&pf_rd_s=merchandised-search-7&pf_rd_t=30901&qid=1700505596&refinements=p_85%3A10440599031%2Cp_n_pct-off-with-tax%3A2665401031&rnid=2665398031&rps=1&s=apparel&sr=1-10,This handcrafted all over pintex kurta churidar set is one of the most unique collection amongst ethnic sets.Specially hand crafted with thread all over the kurta by ancient artisan's.Special consideration to fit and quality had been given by our team to bring out the most exclusive desgin giving the rich ethnic look.Fabric used is art silk which is procured from banaras(india).Come's with complimentary free size churidar pyjamas .Team this ethnic set with mojari's or kolapuri juti to get the proper ethnic look.
6,Men's Silk Blend Kurta Churidar Pyjama with Ethnic Bundi Jacket Set,https://www.amazon.in//hangup-mens-sherwani/dp/B07G5BXCLY/ref=sr_1_22?pf_rd_i=1968248031&pf_rd_m=A1K21FY43GMZF8&pf_rd_p=6a1993aa-67cd-416e-a722-d90488214ba1&pf_rd_r=3R684KJ157BXTEEKFHYP&pf_rd_s=merchandised-search-7&pf_rd_t=30901&qid=1700505596&refinements=p_85%3A10440599031%2Cp_n_pct-off-with-tax%3A2665401031&rnid=2665398031&rps=1&s=apparel&sr=1-22,"Bgn Apparels ,formed in 1980, was started by Mr. Satish Gupta.hangup deals in mens wear which has presence in India and aboard.these comprise of a combination of exclusive brand outlets that deals with heritage of Indian textiles and puts to use traditional weaves and silks from master weavers all over the country to create styles that are classic, trendy, and timeless and can be handed down from one generation to the next. a collection that embodies the beauty of hand crafted embroideries and fabrics. This label brings together couture sensibilities and timeless style. a high-impact globetrotting mix of Indian and western wear that works up this fashion brand into a comfortable trendy occasion wear. the range is for those who need wardrobe versatility in everyday semi formal-to-formal clothing. It lets you skillfully team up separates that are international in appeal and cater to individual taste. this brand brings out fresh new collections in contemporary styles that combine elegance with strong detailing that makes a strong fashion statement. our brand encourages the use of organic textiles made from techniques that are environment friendly. we revive the artisan culture by using traditional textile practices and techniques that caters to a large segment, ranging from youngsters to fashion conscious Corporate executives. hangup is known as a brand that’s trendy, stylish and affordable, a place where style meets quality and comfort."
7,Cotton Kurta And Pyjama Set,https://www.amazon.in//Hang-Up-Pyjama-3PC_55AMahroon-KPW_40-Multi-Coloured/dp/B07HNZTH6V/ref=sr_1_13?pf_rd_i=1968248031&pf_rd_m=A1K21FY43GMZF8&pf_rd_p=6a1993aa-67cd-416e-a722-d90488214ba1&pf_rd_r=3R684KJ157BXTEEKFHYP&pf_rd_s=merchandised-search-7&pf_rd_t=30901&qid=1700505596&refinements=p_85%3A10440599031%2Cp_n_pct-off-with-tax%3A2665401031&rnid=2665398031&rps=1&s=apparel&sr=1-13,"Bgn Apparels ,formed in 1980, was started by Mr. Satish Gupta.hangup deals in mens wear which has presence in India and aboard.these comprise of a combination of exclusive brand outlets that deals with heritage of Indian textiles and puts to use traditional weaves and silks from master weavers all over the country to create styles that are classic, trendy, and timeless and can be handed down from one generation to the next. a collection that embodies the beauty of hand crafted embroideries and fabrics. This label brings together couture sensibilities and timeless style. a high-impact globetrotting mix of Indian and western wear that works up this fashion brand into a comfortable trendy occasion wear. the range is for those who need wardrobe versatility in everyday semi formal-to-formal clothing. It lets you skillfully team up separates that are international in appeal and cater to individual taste. this brand brings out fresh new collections in contemporary styles that combine elegance with strong detailing that makes a strong fashion statement. our brand encourages the use of organic textiles made from techniques that are environment friendly. we revive the artisan culture by using traditional textile practices and techniques that caters to a large segment, ranging from youngsters to fashion conscious Corporate executives. hangup is known as a brand that’s trendy, stylish and affordable, a place where style meets quality and comfort."
8,Cotton Kurta,https://www.amazon.in//Vastramay-Cotton-Blend-Sherwani-Biscuit_VASMSW124nCDMA_42/dp/B07CPVBLDR/ref=sr_1_14?pf_rd_i=1968248031&pf_rd_m=A1K21FY43GMZF8&pf_rd_p=6a1993aa-67cd-416e-a722-d90488214ba1&pf_rd_r=3R684KJ157BXTEEKFHYP&pf_rd_s=merchandised-search-7&pf_rd_t=30901&qid=1700505596&refinements=p_85%3A10440599031%2Cp_n_pct-off-with-tax%3A2665401031&rnid=2665398031&rps=1&s=apparel&sr=1-14,"Vastramay introduces to you these classy sherwani for men stylish latest design in variety of material and designs for all occassions. This fabric has been designed keeping in mind the latest trends in a semi formal fashion or occassional fashion. Engineering garments which fit all body types and style is our aim. We offer not just servani for man for wedding but also indo western for men and semi sherwani as well covering the entire space. Our servani are constructed in such a way that you can adorn it with a churidar, dhoti for men or a patiala too. To complete the look adorn a mojari or jutti slippers for men stylish, you may also try an authentic Kohlapuri chappal for men, the fashionistas and millennial folks may experiment with a brogues or oxfords juta for men stylish. Suitable for: Party, Weddings, Regular Wear, Celebrations, Occasions, Festivals, Lohri, Pongal, Makar Sakranti, Baisakhi, Holi, Eid, Raksha Bandhan, Dussehra, Diwali, Navratri, Pooja, Christmas, Onam, Ganesh Chaturthi, Janmasthmi and Gifts for Mens."
9,Silk Blend Pyjama,https://www.amazon.in//Vastramay-Mens-Navy-Blend-Sherwani/dp/B07YFQ8H8N/ref=sr_1_15?pf_rd_i=1968248031&pf_rd_m=A1K21FY43GMZF8&pf_rd_p=6a1993aa-67cd-416e-a722-d90488214ba1&pf_rd_r=3R684KJ157BXTEEKFHYP&pf_rd_s=merchandised-search-7&pf_rd_t=30901&qid=1700505596&refinements=p_85%3A10440599031%2Cp_n_pct-off-with-tax%3A2665401031&rnid=2665398031&rps=1&s=apparel&sr=1-15,"Vastramay brings to you these stylish dhoti kurta set for men stitched meticulously to fit all body type. This fabric has been designed keeping in mind the latest trends in a casual fashion or occassional fashion. Engineering garments which fit all body types and style is our aim. These kurta pajama for men party wear or regular wear are made with superior quality very soft fabric and comfortable wear. For one of those big parties just pair the set with a Modi Jacket for mens stylish to avoid carrying a servani or indo western for men. We are giving a dhoti pants for men but you can also add a churidar with the kurtha for a change in look in the next get together. To complete the look adorn a mojari or jutti slippers for men stylish, you may also try an authentic Kohlapuri chappal for men, the fashionistas and millennial folks may experiment with a brogues or oxfords juta for men stylish. Suitable for: Party, Weddings, Regular Wear, Celebrations, Occasions, Festivals, Lohri, Pongal, Makar Sakranti, Baisakhi, Holi, Eid, Raksha Bandhan, Dussehra, Diwali, Navratri, Pooja, Christmas, Onam, Ganesh Chaturthi, Janmasthmi and Gifts for Mens."
